parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.5_0.5_1_0.2,0.994379283473374,0.661216459452736,1.09547463098476E-11,1.96747669813836E-14,0.994379283473374, , ,0,0.87,0.69, 
0.5_0.5_1_0.5,0.000930677218046,0.000930677218046,5.24638284972693E-54,5.63544019852441E-07,3.31695041577694E-52,causal, ,0,0.01,0.05, 
0.5_0.5_1_0.8,2.43993108643711E-06,2.43993108643711E-06,9.9023787374732E-111,4.52530485959979E-11,2.41617060631152E-53,causal, ,0,0,0.14, 
0.5_0.5_1_1,6.48904537692626E-10,1.77556166517443E-13,3.41661224372012E-159,6.48904537692626E-10,5.1571963697913E-107,causal, ,0,0,0,causal
0.5_0.5_1_3,0.050719124752068,6.33717597777058E-16,0,0.050719124752068,1.29754127754362E-147, , ,0,0,0,causal
0.5_0.8_0.5_0.2,0.002718697582601,0.002718697582601,3.98603498396545E-07,4.80748747582604E-30,1.09938809339027E-08,causal, ,0,0,0.02,causal
0.5_0.8_0.5_0.5,3.74076626294313E-08,3.74076626294313E-08,1.09249831101232E-51,3.3632973687401E-21,1.74326222565112E-39,causal, ,0,0,0.28, 
0.5_0.8_0.5_0.8,1.13716774751505E-16,3.32025281132951E-20,2.45565035563119E-120,1.13716774751505E-16,1.78990657369605E-101,causal, ,0,0,0,causal
0.5_0.8_0.5_1,1.70156302294492E-17,1.78502673893252E-20,2.33822451097021E-138,1.70156302294492E-17,1.04639855900352E-100,causal, ,0,0,0,causal
0.5_0.8_0.5_3,0.001764674088605,2.12071615966419E-33,0,0.001764674088605,3.54393515708828E-185,causal, ,0,0,0,causal
0.5_0.8_1_0.2,0.422773165143329,0.213465531437374,1.0116854753755E-10,9.37862025929384E-30,0.422773165143329, , ,0,0.35,0.27, 
0.5_0.8_1_0.5,2.48129761987331E-05,2.48129761987331E-05,9.16894120539004E-53,3.25852864441775E-22,8.66640549552183E-30,causal, ,0,0,0.08, 
0.5_0.8_1_0.8,9.11013051646825E-14,9.11013051646825E-14,4.38522128356716E-100,3.99008625710005E-23,2.19814825672659E-92,causal, ,0,0,0,causal
0.5_0.8_1_1,1.87177284728113E-16,1.87177284728113E-16,7.99281592627513E-168,1.73424554164699E-20,4.68240426363843E-50,causal, ,0,0,0,causal
0.5_0.8_1_3,0.000229115355179,8.40659034229515E-35,0,0.000229115355179,8.80697237814772E-219,causal, ,0,0,0,causal
0.5_1_0.5_0.2,0.000564547484541,0.000564547484541,2.91200264470172E-11,4.11745377314254E-41,1.9412750502429E-09,causal, ,0,0,0.04,causal
0.5_1_0.5_0.5,3.39125126806704E-13,3.39125126806704E-13,4.69147438903044E-49,1.28623532575277E-36,1.98990091851875E-33,causal, ,0,0,0,causal
0.5_1_0.5_0.8,4.1966831509616E-23,4.1966831509616E-23,6.48125535170557E-113,4.66323786948009E-25,4.49573358284691E-83,causal, ,0,0,0,causal
0.5_1_0.5_1,6.01380196446893E-20,6.01380196446893E-20,8.87686464229808E-155,1.08580602411089E-31,5.53818838276293E-52,causal, ,0,0,0,causal
0.5_1_0.5_3,2.27923588075605E-06,3.10796045823619E-45,0,2.27923588075605E-06,7.364898911312E-300,causal, ,0,0,0,causal
0.5_1_1_0.2,1.00463280117464E-05,1.00463280117464E-05,1.28614777646113E-08,1.59353699835361E-49,3.66153164491275E-10,causal, ,0,0,0.12, 
0.5_1_1_0.5,1.78067096423092E-09,1.78067096423092E-09,1.2561616570876E-57,7.90281540777046E-43,6.35313515119716E-18,causal, ,0,0,0.7, 
0.5_1_1_0.8,2.04013745888852E-25,2.04013745888852E-25,8.50770618297781E-112,3.60655154584347E-28,1.1052246870376E-73,causal, ,0,0,0,causal
0.5_1_1_1,1.29667354490643E-24,1.29667354490643E-24,2.22141899293774E-148,1.76106467663932E-30,1.65066167262808E-56,causal, ,0,0,0,causal
0.5_1_1_3,0.000325904862363,3.67549209618404E-48,0,0.000325904862363,1.01339407754889E-251,causal, ,0,0,0,causal
0.5_3_0.5_0.2,0.000212751325929,1.20913967189725E-15,1.05198540186608E-11,2.5397193248494E-257,0.000212751325929,causal, ,0,0,0,causal
0.5_3_0.5_0.5,1.26166770876672E-35,1.14857527584605E-85,1.05637756836892E-60,2.87116264032734E-187,1.26166770876672E-35,causal, ,0,0,0.03,causal
0.5_3_0.5_0.8,7.40526174185225E-107,5.57038609544662E-140,7.40526174185225E-107,5.52107858000804E-111,1.11173571607159E-213,causal, ,0,0,0,causal
