parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.8_0.7,0.999948628916293,0.635137745673736,3.45323845015403e-10,1.22145401249413e-66,0.999948628916293, , ,0.0,0.0,0.01,causal
0.8_0.8,0.995317667149064,0.463186450495595,6.76214409486275e-06,2.27099666058073e-103,0.995317667149064, , ,0.0,0.0,0.0,causal
0.8_0.9,0.995620782649721,0.155953725634446,0.0018859792414756,1.53627773084964e-85,0.995620782649721, , ,0.0,0.0,0.0,causal
0.8_1,0.999998641667712,0.449897556749608,1.5562137767993e-09,3.06189301291786e-85,0.999998641667712, , ,0.0,0.0,0.01,causal
0.8_3,0.269574969627164,0.0048847186076355,3.85777074269132e-19,3.72206243733877e-71,0.269574969627164, , ,0.0,0.0,0.0,causal
0.9_0.1,0.701078221741141,0.19904179917846,0.701078221741141,3.41589635919626e-94,0.659740724441557, , ,0.0,0.06,0.03, 
0.9_0.2,0.652221444549446,0.622501455945631,0.0526724240236714,1.82423346921561e-87,0.652221444549446, , ,0.0,0.47,0.73, 
0.9_0.3,0.99883742214749,0.867015205226936,5.62897213849905e-05,1.3594951830998e-96,0.99883742214749, , ,0.0,0.02,0.74, 
0.9_0.4,0.0802578202305537,0.0250510443466517,1.01099648612712e-07,2.7713581844970098e-83,0.0802578202305537, , ,0.0,0.01,0.0,causal
0.9_0.5,0.999958717583472,0.604465427556227,1.27923409489351e-10,1.0850042357078101e-97,0.999958717583472, , ,0.0,0.0,0.01,causal
0.9_0.6,0.15812886011689,0.0575262626566359,1.56127018791736e-05,8.39742311628969e-95,0.15812886011689, , ,0.0,0.0,0.0,causal
0.9_0.7,0.574053364454878,0.174420994181324,0.0002999666313254,3.6869502362387e-104,0.574053364454878, , ,0.0,0.0,0.0,causal
0.9_0.8,0.966290785283801,0.0168841026927349,2.42662830353708e-17,8.32839315839015e-96,0.966290785283801, , ,0.0,0.0,0.0,causal
0.9_0.9,0.99999278821456,0.465774990635679,1.19514720795734e-08,3.13350992638708e-92,0.99999278821456, , ,0.0,0.04,0.1, 
0.9_1,0.989126682733037,0.386249554475771,2.65634865383871e-08,6.4442793960998e-89,0.989126682733037, , ,0.0,0.0,0.0,causal
0.9_3,0.983115217760548,0.338072139336763,1.19914437489813e-06,1.4047742491108502e-98,0.983115217760548, , ,0.0,0.0,0.0,causal
1_0.1,0.0293917013186541,0.0074147284490937,0.0293917013186541,7.0387004165727905e-118,0.0036912196585598,causal, ,0.0,0.0,0.57, 
1_0.2,0.978243918983467,0.851045407133742,0.0062879308965144,6.04598168913415e-122,0.978243918983467, , ,0.0,0.46,0.38, 
1_0.3,0.0660831199940998,0.0660831199940998,0.0052290131595969,2.1277472826001e-123,0.0448436989199631, , ,0.0,0.0,0.0,causal
1_0.4,0.984329781940089,0.862283714760461,0.0035183169429847,5.20556991697539e-131,0.984329781940089, , ,0.0,0.0,0.0,causal
1_0.5,0.958963400193894,0.716097959485968,0.0041341439807433,5.7543797051547605e-117,0.958963400193894, , ,0.0,0.0,0.0,causal
1_0.6,0.999275460970399,0.3775751121508,7.11990536986243e-10,1.03750180348952e-119,0.999275460970399, , ,0.0,0.0,0.0,causal
1_0.7,0.985633143563022,0.0014848146943689,2.6410858206953803e-20,4.1959787918796697e-137,0.985633143563022, , ,0.0,0.0,0.0,causal
