,parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
77,0.8_0.1,0.92715756082803,0.6894998129483,0.0062068494490146,3.14320437130081e-47,0.92715756082803, , ,0.0,0.0,0.42, 
78,0.8_0.2,0.0285610806553378,0.0285610806553378,6.94416766828215e-09,2.7777403528008e-38,2.73621577060972e-07,causal, ,0.0,0.0,0.31, 
79,0.8_0.3,0.0038919154124371,0.0038919154124371,3.0005610999102504e-19,2.34767114020572e-25,7.567832017189609e-13,causal, ,0.0,0.0,0.15, 
80,0.8_0.4,2.67609588168181e-06,2.67609588168181e-06,7.95244905481489e-37,1.74199663154996e-24,4.0313961758232395e-43,causal, ,0.0,0.0,0.0,causal
81,0.8_0.5,1.29683440179005e-05,1.29683440179005e-05,3.16695562926936e-48,1.1156325693180701e-25,1.5227373269670099e-18,causal, ,0.0,0.0,0.0,causal
82,0.8_0.6,2.55271213891951e-11,2.55271213891951e-11,5.51624646330714e-53,2.10391316222098e-27,2.4821318894677098e-36,causal, ,0.0,0.0,0.0,causal
83,0.8_0.7,1.97219697473715e-13,1.97219697473715e-13,1.07302312994602e-80,3.22731777267956e-17,3.78311112540291e-60,causal, ,0.0,0.0,0.0,causal
84,0.8_0.8,2.69380038557251e-10,2.69380038557251e-10,1.1886009283069299e-126,1.84429649265809e-22,1.16004593305178e-37,causal, ,0.0,0.0,0.0,causal
85,0.8_0.9,3.19894853900724e-18,3.19894853900724e-18,5.5459430570027105e-132,2.71530625054428e-24,3.9241154492891e-64,causal, ,0.0,0.0,0.0,causal
86,0.8_1,3.9542392579351603e-14,1.47959169488027e-23,3.6287512472889304e-136,3.9542392579351603e-14,1.79982439834832e-75,causal, ,0.0,0.0,0.0,causal
87,0.8_3,0.0013307069221401,1.86041667350074e-27,0.0,0.0013307069221401,1.27639595946824e-191,causal, ,0.0,0.0,0.0,causal
88,0.9_0.1,0.0052198730867214,0.0052198730867214,0.0008764379411655,1.74213667947747e-44,0.0010523902381958,causal, ,0.0,0.0,0.78, 
89,0.9_0.2,0.0065160774958449,0.0065160774958449,5.38101943622043e-12,1.50114530699299e-37,6.19970852576601e-10,causal, ,0.0,0.0,0.26, 
90,0.9_0.3,5.94147199328487e-05,5.94147199328487e-05,1.49492172935165e-22,7.05578740539798e-40,1.70444090382715e-16,causal, ,0.0,0.0,0.0,causal
91,0.9_0.4,1.86836245824242e-05,1.86836245824242e-05,6.665851472637699e-31,3.0788469387546797e-34,1.7261714756267102e-19,causal, ,0.0,0.0,0.4, 
92,0.9_0.5,8.093237024040509e-12,8.093237024040509e-12,1.83416595793109e-42,2.81117615900394e-45,2.7015738438664897e-28,causal, ,0.0,0.0,0.0,causal
93,0.9_0.6,3.13265446309791e-06,3.13265446309791e-06,7.961237545184951e-60,4.48864586321308e-27,2.26187283457522e-18,causal, ,0.0,0.0,0.23, 
94,0.9_0.7,2.92299118315608e-11,2.92299118315608e-11,2.26829933295014e-100,9.72835521219175e-35,1.94344725782163e-19,causal, ,0.0,0.0,0.0,causal
95,0.9_0.8,2.11354570017044e-18,2.11354570017044e-18,1.69727246411237e-100,6.06388796402287e-22,3.98901006848148e-87,causal, ,0.0,0.0,0.0,causal
96,0.9_0.9,8.13253947649953e-20,4.45960603861815e-32,4.02459207605865e-116,8.13253947649953e-20,4.34763889607928e-65,causal, ,0.0,0.0,0.0,causal
97,0.9_1,2.1949938829088098e-22,2.1949938829088098e-22,2.16445273441219e-151,8.34835495331352e-30,2.5393653871396298e-57,causal, ,0.0,0.0,0.0,causal
98,0.9_3,1.31981798567517e-07,1.8647399588288e-38,0.0,1.31981798567517e-07,1.45911117337628e-170,causal, ,0.0,0.0,0.0,causal
99,1_0.1,0.33714319279882,0.33714319279882,0.0062284748465815,9.65547220719051e-61,0.318962784647428, , ,0.0,0.0,0.95, 
100,1_0.2,0.0013254697127993,0.0013254697127993,1.25925217295607e-13,1.0420838056417399e-42,1.7966471794765e-13,causal, ,0.0,0.0,0.5, 
101,1_0.3,3.3557117392741e-06,3.3557117392741e-06,2.37865113342315e-24,3.34637548961851e-50,6.19106065174058e-18,causal, ,0.0,0.0,0.87, 
102,1_0.4,1.59098370958936e-06,1.59098370958936e-06,4.0562079474235095e-36,2.4139906870674697e-42,1.7197860303662e-17,causal, ,0.0,0.0,0.02,causal
103,1_0.5,4.0778201684665703e-10,4.0778201684665703e-10,2.80838367932432e-50,1.63828482031641e-47,3.4309239924095e-18,causal, ,0.0,0.0,0.0,causal
104,1_0.6,2.9604285721423603e-19,2.9604285721423603e-19,3.33764493299222e-64,3.7214392485478e-36,4.0331544398595794e-55,causal, ,0.0,0.0,0.0,causal
105,1_0.7,5.23115900622016e-18,5.23115900622016e-18,1.76213586527894e-94,5.04905354518006e-31,4.76371842272505e-61,causal, ,0.0,0.0,0.0,causal
106,1_0.8,7.65133043395028e-22,7.65133043395028e-22,1.29583173875946e-109,7.64967108596928e-24,4.3289247184456905e-68,causal, ,0.0,0.0,0.0,causal
107,1_0.9,4.44708896782914e-21,4.44708896782914e-21,8.15541223620719e-140,1.5894571349817701e-24,1.4303888350347e-77,causal, ,0.0,0.0,0.0,causal
108,1_1,3.12299844133286e-23,1.6289986648985402e-31,4.48689981056702e-147,3.12299844133286e-23,9.75088991387397e-76,causal, ,0.0,0.0,0.0,causal
109,1_3,0.0001669998373906,2.66390020511036e-38,0.0,0.0001669998373906,1.6210642636671902e-240,causal, ,0.0,0.0,0.0,causal
110,3_0.1,0.206475724148744,0.0007927865007508,0.0002251940180109,1.77367910372991e-250,0.206475724148744, , ,0.0,0.0,0.64, 
111,3_0.2,3.32214492056297e-10,1.3869954731011602e-20,1.13283426947311e-10,3.2370082867568105e-235,3.32214492056297e-10,causal, ,0.0,0.0,0.0,causal
112,3_0.3,2.64760366728706e-09,2.25299459487407e-27,1.91953172616407e-20,1.00062528155154e-215,2.64760366728706e-09,causal, ,0.0,0.0,0.0,causal
113,3_0.4,2.54971932222728e-31,1.22049918142194e-65,2.54971932222728e-31,3.3239063650365796e-209,1.94320845385995e-37,causal, ,0.0,0.0,0.0,causal
114,3_0.5,1.14170938631409e-45,3.03178365064345e-82,2.30252153433691e-48,8.22526312647419e-179,1.14170938631409e-45,causal, ,0.0,0.0,0.0,causal
115,3_0.6,1.13105411318268e-67,4.69923331247433e-99,1.13105411318268e-67,2.22814083462231e-157,3.6672141152044497e-125,causal, ,0.0,0.0,0.0,causal
116,3_0.7,8.81813271389915e-100,9.921021262364819e-135,8.81813271389915e-100,5.36845566371433e-131,0.0,causal, ,0.0,0.0,0.0,causal
117,3_0.8,2.01196888793078e-112,3.52792261257118e-142,2.01196888793078e-112,3.8557458476703e-135,1.7179722050597e-119,causal, ,0.0,0.0,0.0,causal
118,3_0.9,7.527876616987e-91,6.40935416201935e-146,1.1815663342223699e-160,9.050089150201039e-107,7.527876616987e-91,causal, ,0.0,0.0,0.0,causal
119,3_1,1.09931345801562e-89,1.75603267559865e-170,2.9613274574332503e-151,1.09931345801562e-89,4.57628147565098e-261,causal, ,0.0,0.0,0.0,causal
120,3_3,7.90758667482084e-12,1.32372484611556e-241,0.0,7.90758667482084e-12,0.0,causal, ,0.0,0.0,0.0,causal
